x_values,y_values
"['C', 'F', 'C']",E7
"['F', 'C', 'E7']",Amin
"['C', 'E7', 'Amin']",C
"['E7', 'Amin', 'C']",F
"['Amin', 'C', 'F']",C
"['C', 'F', 'C']",G7
"['F', 'C', 'G7']",C
"['C', 'G7', 'C']",F
"['G7', 'C', 'F']",C
"['C', 'F', 'C']",E7
"['F', 'C', 'E7']",Amin
"['C', 'E7', 'Amin']",C
"['E7', 'Amin', 'C']",F
"['Amin', 'C', 'F']",G7
"['C', 'F', 'G7']",C
"['F', 'G7', 'C']",F
"['G7', 'C', 'F']",C
"['C', 'F', 'C']",E7
"['F', 'C', 'E7']",Amin
"['C', 'E7', 'Amin']",C
"['E7', 'Amin', 'C']",F
"['Amin', 'C', 'F']",C
"['C', 'F', 'C']",G7
"['F', 'C', 'G7']",C
"['C', 'G7', 'C']",F
"['G7', 'C', 'F']",C
"['C', 'F', 'C']",E7
"['F', 'C', 'E7']",Amin
"['C', 'E7', 'Amin']",C
"['E7', 'Amin', 'C']",F
"['Amin', 'C', 'F']",G7
"['C', 'F', 'G7']",C
"['F', 'G7', 'C']",F
"['G7', 'C', 'F']",C
"['C', 'F', 'C']",F
"['F', 'C', 'F']",C
"['C', 'F', 'C']",G
"['F', 'C', 'G']",C
"['C', 'G', 'C']",F
"['G', 'C', 'F']",C
"['C', 'F', 'C']",E7
"['F', 'C', 'E7']",Amin
"['C', 'E7', 'Amin']",C
"['E7', 'Amin', 'C']",F
"['Amin', 'C', 'F']",G7
"['C', 'F', 'G7']",C
"['F', 'G7', 'C']",D
"['G7', 'C', 'D']",G
"['C', 'D', 'G']",D
"['D', 'G', 'D']",G
"['G', 'D', 'G']",D
"['D', 'G', 'D']",A
"['G', 'D', 'A']",D
"['D', 'A', 'D']",G
"['A', 'D', 'G']",D
"['D', 'G', 'D']",F#7
"['G', 'D', 'F#7']",Bmin
"['D', 'F#7', 'Bmin']",D
"['F#7', 'Bmin', 'D']",G
"['Bmin', 'D', 'G']",A7
"['D', 'G', 'A7']",D
"['G', 'A7', 'D']",G
"['A7', 'D', 'G']",A7
"['D', 'G', 'A7']",D
"['E', 'D', 'A/C#']",E
"['D', 'A/C#', 'E']",D
"['A/C#', 'E', 'D']",A/C#
"['E', 'D', 'A/C#']",E
"['D', 'A/C#', 'E']",D
"['A/C#', 'E', 'D']",A/C#
"['E', 'D', 'A/C#']",E
"['D', 'A/C#', 'E']",D
"['A/C#', 'E', 'D']",A/C#
"['E', 'D', 'A/C#']",E
"['D', 'A/C#', 'E']",D
"['A/C#', 'E', 'D']",A/C#
"['E', 'D', 'A/C#']",E
"['D', 'A/C#', 'E']",D
"['A/C#', 'E', 'D']",A
"['E', 'D', 'A']",C
"['D', 'A', 'C']",E
"['A', 'C', 'E']",G
"['C', 'E', 'G']",D
